"HostName","IP","MAC","FQDN","Status","V-ID","Severity","RuleID","RuleTitle","Discussion","CheckText","FixText","Control","AssessmentProcedure","CCIReference","FindingDetails","Comments","SeverityOverride","Override/Justification"
"SRV-CONTAINER04","192.168.127.194","9D:AB:27:F6:F7:BE","SRV-DB05.dev.company.com","Not_Reviewed","V-270736","high","SV-270682r356096","Ubuntu 24.04 LTS must map the authenticated identity to the user or group account for PKI-based authentication.","Firewall rules control network traffic and prevent unauthorized access.","Verify that unnecessary network services are disabled.","Enable and configure audit logging according to security requirements.","SC-33","Check audit log configuration and verify logging is active.","CCI-000507","This finding was identified during the security assessment of SRV-CONTAINER04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DNS03","192.168.108.118","83:01:3C:24:D6:84","SRV-FILE02.prod.company.com","Open","V-254399","high","SV-270679r992842","Windows Server 2022 directory data (outside the root DSE) of a nonpublic directory must be configured to prevent anonymous access.","Unnecessary network services increase the attack surface and should be disabled.","Verify that unnecessary network services are disabled.","Apply available system patches and configure automatic updates.","IA-3","Examine running services and disable unnecessary ones.","CCI-000500","This finding was identified during the security assessment of SRV-DNS03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DB02","192.168.37.184","8A:3D:4C:80:7C:DA","SRV-WEB05.company.local","Open","V-254494","medium","SV-257807r493134","Windows Server 2022 back up files and directories user right must only be assigned to the Administrators group.","System patches address security vulnerabilities and should be applied regularly.","Check if firewall rules are configured and active.","Configure firewall rules to control network traffic.","SI-16","Examine running services and disable unnecessary ones.","CCI-000551","This finding was identified during the security assessment of SRV-DB02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-CONTAINER03","192.168.39.156","24:D6:14:EF:E2:E4","SRV-MAIL04.internal.org","Open","V-270655","medium","SV-230306r555495","Ubuntu 24.04 LTS must enable and run the Uncomplicated Firewall (ufw).","Firewall rules control network traffic and prevent unauthorized access.","Verify that unnecessary network services are disabled.","Enable and configure audit logging according to security requirements.","SI-16","Examine running services and disable unnecessary ones.","CCI-000253","This finding was identified during the security assessment of SRV-CONTAINER03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-CONTAINER01","192.168.239.76","AA:C5:25:C6:46:A0","SRV-WEB01.internal.org","Open","V-205685","medium","SV-220936r938406","Windows Server 2019 must not have Windows PowerShell 2.0 installed.","System patches address security vulnerabilities and should be applied regularly.","Verify that unnecessary network services are disabled.","Enable and configure audit logging according to security requirements.","SC-1","Check audit log configuration and verify logging is active.","CCI-000498","This finding was identified during the security assessment of SRV-CONTAINER01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-WEB05","192.168.128.125","48:05:CA:D0:2B:04","SRV-WEB01.test.company.com","Open","V-220850","medium","SV-257970r983461","Remote Desktop Services must always prompt a client for passwords upon connection.","Unnecessary network services increase the attack surface and should be disabled.","Verify that unnecessary network services are disabled.","Disable unnecessary network services through system configuration.","SI-2","Review system configuration settings for password policies.","CCI-000293","This finding was identified during the security assessment of SRV-WEB05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-VM05","192.168.128.89","8B:7E:20:CE:A9:BD","SRV-STORAGE03.company.local","Open","V-254368","medium","SV-230306r555495","Windows Server 2022 Remote Desktop Services must require secure Remote Procedure Call (RPC) communications.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that unnecessary network services are disabled.","Configure password complexity requirements in the system settings.","SC-35","Review system configuration settings for password policies.","CCI-000285","This finding was identified during the security assessment of SRV-VM05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-WEB01","192.168.119.50","36:B7:C2:0B:26:0F","SRV-MONITOR04.prod.company.com","Not_Applicable","V-258214","medium","SV-205659r756703","Successful/unsuccessful uses of the shutdown command in RHEL 9 must generate an audit record.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Check if firewall rules are configured and active.","Disable unnecessary network services through system configuration.","SI-18","Review firewall configuration and rule sets.","CCI-000524","This finding was identified during the security assessment of SRV-WEB01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-WEB01","192.168.41.125","E0:96:AA:59:37:0A","SRV-VM03.test.company.com","Not_Reviewed","V-230306","medium","SV-254483r361391","RHEL 8 must prevent code from being executed on file systems that are imported via Network File System (NFS).","Audit logging provides visibility into system activities and helps detect security incidents.","Verify that system patches are up to date.","Enable and configure audit logging according to security requirements.","AC-7","Check audit log configuration and verify logging is active.","CCI-000567","This finding was identified during the security assessment of SRV-WEB01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-NET02","192.168.154.106","14:3E:61:3C:3F:7A","SRV-APP05.company.local","Not_Reviewed","V-220724","medium","SV-258182r244472","A host-based firewall must be installed and enabled on the system.","Firewall rules control network traffic and prevent unauthorized access.","Confirm that audit logging is enabled and properly configured.","Configure firewall rules to control network traffic.","SI-12","Examine running services and disable unnecessary ones.","CCI-000302","This finding was identified during the security assessment of SRV-NET02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-NET03","192.168.51.182","9B:C6:5E:C0:B8:C8","SRV-NET05.corp.example.com","Not_Applicable","V-220732","medium","SV-205791r973884","The Secondary Logon service must be disabled on Windows 10.","Audit logging provides visibility into system activities and helps detect security incidents.","Check if password complexity requirements are configured in the system settings.","Configure password complexity requirements in the system settings.","AU-5","Review firewall configuration and rule sets.","CCI-000527","This finding was identified during the security assessment of SRV-NET03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MAIL05","192.168.55.105","E1:36:4C:A3:FA:1D","SRV-CONTAINER04.prod.company.com","Open","V-258197","medium","SV-230266r124563","RHEL 9 must audit all uses of the pam_timestamp_check command.","Firewall rules control network traffic and prevent unauthorized access.","Confirm that audit logging is enabled and properly configured.","Enable and configure audit logging according to security requirements.","SI-4","Check system patch levels and update procedures.","CCI-000591","This finding was identified during the security assessment of SRV-MAIL05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-NET03","192.168.102.103","DF:25:51:98:03:93","SRV-DNS02.dev.company.com","Open","V-205703","medium","SV-220733r689970","Windows Server 2019 Kerberos service ticket maximum lifetime must be limited to 600 minutes or less.","System patches address security vulnerabilities and should be applied regularly.","Check if firewall rules are configured and active.","Disable unnecessary network services through system configuration.","SC-20","Check system patch levels and update procedures.","CCI-000370","This finding was identified during the security assessment of SRV-NET03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-STORAGE03","192.168.190.181","A1:45:F1:25:20:31","SRV-MAIL03.prod.company.com","Not_Applicable","V-254277","medium","SV-230249r314628","Windows Server 2022 must have the Server Message Block (SMB) v1 protocol disabled on the SMB client.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Confirm that audit logging is enabled and properly configured.","Configure password complexity requirements in the system settings.","AU-6","Check system patch levels and update procedures.","CCI-000395","This finding was identified during the security assessment of SRV-STORAGE03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-SEC02","192.168.200.15","60:5F:2D:4E:93:1B","SRV-VM04.enterprise.net","Not_Checked","V-258182","medium","SV-220850r251201","RHEL 9 must audit all uses of the setfacl command.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that unnecessary network services are disabled.","Configure password complexity requirements in the system settings.","CM-5","Check audit log configuration and verify logging is active.","CCI-000440","This finding was identified during the security assessment of SRV-SEC02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MONITOR02","192.168.81.168","61:62:8B:E3:C1:5F","SRV-CONTAINER01.test.company.com","Open","V-254277","medium","SV-258155r203244","Windows Server 2022 must have the Server Message Block (SMB) v1 protocol disabled on the SMB client.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Check if firewall rules are configured and active.","Enable and configure audit logging according to security requirements.","SC-10","Review firewall configuration and rule sets.","CCI-000598","This finding was identified during the security assessment of SRV-MONITOR02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-VM02","192.168.93.218","34:A3:15:61:77:E8","SRV-WEB04.enterprise.net","Open","V-205871","low","SV-205828r269409","Windows Server 2019 Turning off File Explorer heap termination on corruption must be disabled.","Unnecessary network services increase the attack surface and should be disabled.","Verify that system patches are up to date.","Disable unnecessary network services through system configuration.","SC-13","Review system configuration settings for password policies.","CCI-000243","This finding was identified during the security assessment of SRV-VM02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-PRINT03","192.168.240.100","AD:B1:0A:DE:B9:1C","SRV-NET03.dev.company.com","Open","V-205852","medium","SV-257895r899039","Windows Server 2019 must have software certificate installation files removed.","Firewall rules control network traffic and prevent unauthorized access.","Confirm that audit logging is enabled and properly configured.","Apply available system patches and configure automatic updates.","AC-4","Review firewall configuration and rule sets.","CCI-000474","This finding was identified during the security assessment of SRV-PRINT03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-SEC05","192.168.67.91","9C:C6:9E:A3:6C:72","SRV-VM02.enterprise.net","Open","V-230306","medium","SV-220840r611906","RHEL 8 must prevent code from being executed on file systems that are imported via Network File System (NFS).","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Confirm that audit logging is enabled and properly configured.","Apply available system patches and configure automatic updates.","SC-34","Check audit log configuration and verify logging is active.","CCI-000554","This finding was identified during the security assessment of SRV-SEC05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-BACKUP03","192.168.77.164","5C:38:11:22:99:80","SRV-VM03.prod.company.com","Open","V-205859","low","SV-254399r975583","Windows Server 2019 source routing must be configured to the highest protection level to prevent Internet Protocol (IP) source routing.","Audit logging provides visibility into system activities and helps detect security incidents.","Verify that system patches are up to date.","Disable unnecessary network services through system configuration.","SI-7","Check system patch levels and update procedures.","CCI-000453","This finding was identified during the security assessment of SRV-BACKUP03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-SEC02","192.168.21.51","B2:20:9C:F7:99:C8","SRV-VM02.company.local","Open","V-220944","medium","SV-254441r507378","User Account Control approval mode for the built-in Administrator must be enabled.","System patches address security vulnerabilities and should be applied regularly.","Check if password complexity requirements are configured in the system settings.","Enable and configure audit logging according to security requirements.","IA-8","Examine running services and disable unnecessary ones.","CCI-000395","This finding was identified during the security assessment of SRV-SEC02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-SEC05","192.168.202.60","96:48:D0:84:5B:CC","SRV-PRINT02.company.local","Not_Applicable","V-230556","medium","SV-205685r701596","The RHEL 8 SSH daemon must prevent remote hosts from connecting to the proxy display.","System patches address security vulnerabilities and should be applied regularly.","Confirm that audit logging is enabled and properly configured.","Configure firewall rules to control network traffic.","SC-19","Check audit log configuration and verify logging is active.","CCI-000271","This finding was identified during the security assessment of SRV-SEC05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DB01","192.168.185.5","FC:1A:15:4D:08:3E","SRV-MAIL04.internal.org","Not_Reviewed","V-230310","medium","SV-270654r930888","RHEL 8 must disable kernel dumps unless needed.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that unnecessary network services are disabled.","Configure password complexity requirements in the system settings.","SI-20","Check audit log configuration and verify logging is active.","CCI-000231","This finding was identified during the security assessment of SRV-DB01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DNS05","192.168.66.1","56:6E:A7:A6:02:51","SRV-VM04.company.local","Open","V-205705","medium","SV-230371r139112","Windows Server 2019 Kerberos policy user ticket renewal maximum lifetime must be limited to seven days or less.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that unnecessary network services are disabled.","Apply available system patches and configure automatic updates.","SI-17","Examine running services and disable unnecessary ones.","CCI-000531","This finding was identified during the security assessment of SRV-DNS05. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MAIL02","192.168.216.127","1D:4A:FD:DA:46:7D","SRV-MAIL05.enterprise.net","Open","V-254452","medium","SV-205860r486805","Windows Server 2022 setting Domain member: Digitally sign secure channel data (when possible) must be configured to Enabled.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Check if firewall rules are configured and active.","Disable unnecessary network services through system configuration.","SC-6","Examine running services and disable unnecessary ones.","CCI-000329","This finding was identified during the security assessment of SRV-MAIL02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DHCP03","192.168.33.134","04:47:9D:65:E8:20","SRV-SEC01.business.com","Not_Applicable","V-270670","medium","SV-257503r871485","Ubuntu 24.04 LTS must configure the SSH client to use FIPS 140-3 approved ciphers to prevent the unauthorized disclosure of information and/or detect changes to information during transmission.","Unnecessary network services increase the attack surface and should be disabled.","Verify that system patches are up to date.","Configure password complexity requirements in the system settings.","SC-1","Check system patch levels and update procedures.","CCI-000335","This finding was identified during the security assessment of SRV-DHCP03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DNS02","192.168.225.117","10:BE:83:52:09:59","SRV-NET01.business.com","Not_Reviewed","V-270808","medium","SV-258196r208791","Ubuntu 24.04 LTS must generate audit records when successful/unsuccessful attempts to modify the /etc/sudoers.d directory occur.","Unnecessary network services increase the attack surface and should be disabled.","Check if password complexity requirements are configured in the system settings.","Enable and configure audit logging according to security requirements.","SC-42","Check system patch levels and update procedures.","CCI-000317","This finding was identified during the security assessment of SRV-DNS02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-PRINT02","192.168.252.215","90:0B:A6:33:36:12","SRV-MAIL05.corp.example.com","Open","V-257978","medium","SV-257959r472626","All RHEL 9 networked systems must have SSH installed.","Unnecessary network services increase the attack surface and should be disabled.","Check if password complexity requirements are configured in the system settings.","Enable and configure audit logging according to security requirements.","SC-10","Review firewall configuration and rule sets.","CCI-000494","This finding was identified during the security assessment of SRV-PRINT02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-STORAGE02","192.168.97.153","F0:00:1B:B2:B2:19","SRV-NET02.business.com","Open","V-205857","low","SV-254503r569241","Windows Server 2019 must have Secure Boot enabled.","Audit logging provides visibility into system activities and helps detect security incidents.","Confirm that audit logging is enabled and properly configured.","Disable unnecessary network services through system configuration.","SI-2","Check system patch levels and update procedures.","CCI-000284","This finding was identified during the security assessment of SRV-STORAGE02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DHCP03","192.168.28.127","98:87:FB:22:5F:56","SRV-WEB01.internal.org","Not_Reviewed","V-254462","medium","SV-220903r730010","Windows Server 2022 unencrypted passwords must not be sent to third-party Server Message Block (SMB) servers.","System patches address security vulnerabilities and should be applied regularly.","Verify that system patches are up to date.","Configure password complexity requirements in the system settings.","AU-7","Check audit log configuration and verify logging is active.","CCI-000390","This finding was identified during the security assessment of SRV-DHCP03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-VM04","192.168.3.118","1E:66:A9:04:9E:A6","SRV-PRINT02.test.company.com","Not_Applicable","V-254462","medium","SV-254368r732112","Windows Server 2022 unencrypted passwords must not be sent to third-party Server Message Block (SMB) servers.","System patches address security vulnerabilities and should be applied regularly.","Check if password complexity requirements are configured in the system settings.","Enable and configure audit logging according to security requirements.","SC-21","Examine running services and disable unnecessary ones.","CCI-000560","This finding was identified during the security assessment of SRV-VM04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DNS03","192.168.196.199","C2:4F:1B:1C:BE:CD","SRV-MAIL01.test.company.com","Open","V-220902","medium","SV-258155r203244","Windows 10 Kernel (Direct Memory Access) DMA Protection must be enabled.","System patches address security vulnerabilities and should be applied regularly.","Confirm that audit logging is enabled and properly configured.","Disable unnecessary network services through system configuration.","CM-7","Check system patch levels and update procedures.","CCI-000578","This finding was identified during the security assessment of SRV-DNS03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MAIL04","192.168.154.216","18:E9:7C:19:6D:D6","SRV-FILE02.test.company.com","Open","V-205823","medium","SV-230508r659706","Windows Server 2019 setting Domain member: Digitally sign secure channel data (when possible) must be configured to Enabled.","Audit logging provides visibility into system activities and helps detect security incidents.","Verify that unnecessary network services are disabled.","Disable unnecessary network services through system configuration.","AC-9","Review system configuration settings for password policies.","CCI-000231","This finding was identified during the security assessment of SRV-MAIL04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-NET02","192.168.253.145","CF:31:D8:78:33:4F","SRV-PRINT03.business.com","Open","V-254368","medium","SV-258042r691073","Windows Server 2022 Remote Desktop Services must require secure Remote Procedure Call (RPC) communications.","Unnecessary network services increase the attack surface and should be disabled.","Confirm that audit logging is enabled and properly configured.","Configure firewall rules to control network traffic.","SC-27","Review system configuration settings for password policies.","CCI-000560","This finding was identified during the security assessment of SRV-NET02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DNS02","192.168.3.26","30:CE:72:24:40:00","SRV-WEB01.corp.example.com","Not_Applicable","V-254503","medium","SV-254286r812350","Windows Server 2022 impersonate a client after authentication user right must only be assigned to Administrators, Service, Local Service, and Network Service.","System patches address security vulnerabilities and should be applied regularly.","Check if password complexity requirements are configured in the system settings.","Enable and configure audit logging according to security requirements.","SI-13","Examine running services and disable unnecessary ones.","CCI-000451","This finding was identified during the security assessment of SRV-DNS02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-FILE02","192.168.98.139","70:83:35:FF:A4:1A","SRV-FILE01.dev.company.com","Open","V-258111","medium","SV-230435r665449","RHEL 9 must enforce password complexity by requiring that at least one uppercase character be used.","System patches address security vulnerabilities and should be applied regularly.","Confirm that audit logging is enabled and properly configured.","Configure password complexity requirements in the system settings.","AU-11","Review firewall configuration and rule sets.","CCI-000428","This finding was identified during the security assessment of SRV-FILE02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-CONTAINER04","192.168.65.143","B0:0B:68:F9:65:50","SRV-MAIL04.prod.company.com","Not_Reviewed","V-205860","low","SV-254286r812350","Windows Server 2019 must be configured to prevent Internet Control Message Protocol (ICMP) redirects from overriding Open Shortest Path First (OSPF)-generated routes.","System patches address security vulnerabilities and should be applied regularly.","Confirm that audit logging is enabled and properly configured.","Configure firewall rules to control network traffic.","IA-3","Check system patch levels and update procedures.","CCI-000465","This finding was identified during the security assessment of SRV-CONTAINER04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-DHCP01","192.168.138.73","98:07:79:DD:14:15","SRV-BACKUP04.business.com","Not_Reviewed","V-258079","medium","SV-257807r493134","RHEL 9 must enable the SELinux targeted policy.","Firewall rules control network traffic and prevent unauthorized access.","Check if password complexity requirements are configured in the system settings.","Configure password complexity requirements in the system settings.","AC-9","Review system configuration settings for password policies.","CCI-000478","This finding was identified during the security assessment of SRV-DHCP01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-MONITOR02","192.168.142.245","28:ED:16:43:27:7F","SRV-VM04.corp.example.com","Not_Checked","V-258197","medium","SV-257886r237215","RHEL 9 must audit all uses of the pam_timestamp_check command.","Unnecessary network services increase the attack surface and should be disabled.","Confirm that audit logging is enabled and properly configured.","Configure firewall rules to control network traffic.","SI-8","Check system patch levels and update procedures.","CCI-000349","This finding was identified during the security assessment of SRV-MONITOR02. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-APP04","192.168.152.113","B1:E3:C6:18:4C:09","SRV-FILE05.internal.org","Open","V-257807","medium","SV-230423r410645","RHEL 9 must disable the Stream Control Transmission Protocol (SCTP) kernel module.","System patches address security vulnerabilities and should be applied regularly.","Check if firewall rules are configured and active.","Configure password complexity requirements in the system settings.","SC-8","Check system patch levels and update procedures.","CCI-000231","This finding was identified during the security assessment of SRV-APP04. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-BACKUP03","192.168.164.123","60:BE:F6:54:8F:68","SRV-SEC01.business.com","Open","V-268322","high","SV-268322r181661","RHEL 8 must not allow blank or null passwords in the system-auth file.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Check if firewall rules are configured and active.","Configure password complexity requirements in the system settings.","SI-18","Check audit log configuration and verify logging is active.","CCI-000228","This finding was identified during the security assessment of SRV-BACKUP03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-APP01","192.168.43.127","28:16:DB:A5:1B:76","SRV-DB05.corp.example.com","Open","V-257895","medium","SV-254494r520839","RHEL 9 /etc/passwd file must have mode 0644 or less permissive to prevent unauthorized access.","Password complexity requirements help prevent brute force attacks by ensuring passwords are difficult to guess.","Verify that system patches are up to date.","Apply available system patches and configure automatic updates.","CM-5","Examine running services and disable unnecessary ones.","CCI-000196","This finding was identified during the security assessment of SRV-APP01. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
"SRV-CONTAINER03","192.168.107.240","12:88:42:DA:07:68","SRV-STORAGE03.business.com","Open","V-254279","medium","SV-205859r464105","Windows Server 2022 FTP servers must be configured to prevent anonymous logons.","Firewall rules control network traffic and prevent unauthorized access.","Confirm that audit logging is enabled and properly configured.","Enable and configure audit logging according to security requirements.","AU-7","Examine running services and disable unnecessary ones.","CCI-000375","This finding was identified during the security assessment of SRV-CONTAINER03. The system requires configuration changes to meet security requirements.","This item requires attention from the system administrator.","N/A","N/A"
